Date,Open,High,Low,Close,Adj Close,Volume,Change %
02/23/2022,1898.44,1911.00,1889.23,1907.55,1907.55,0,0.50%
02/22/2022,1905.89,1914.44,1891.16,1898.13,1898.13,0,-0.39%
02/21/2022,1900.40,1908.38,1887.19,1905.63,1905.63,0,0.41%
02/18/2022,1897.94,1902.84,1886.16,1897.87,1897.87,0,0.03%
02/17/2022,1868.84,1901.57,1867.18,1897.27,1897.27,0,1.55%
02/16/2022,1853.40,1873.16,1849.94,1868.37,1868.37,0,0.83%
02/15/2022,1870.94,1879.89,1844.27,1853.06,1853.06,0,-0.92%
02/14/2022,1861.55,1874.41,1850.45,1870.29,1870.29,0,0.56%
02/11/2022,1827.25,1865.63,1820.79,1859.96,1859.96,0,1.83%
02/10/2022,1832.94,1842.35,1821.46,1826.57,1826.57,0,-0.32%
02/09/2022,1826.05,1836.35,1824.50,1832.43,1832.43,0,0.38%
02/08/2022,1820.59,1829.09,1815.06,1825.48,1825.48,0,0.28%
02/07/2022,1806.99,1824.06,1806.94,1820.31,1820.31,0,0.71%
02/04/2022,1804.80,1815.44,1790.94,1807.49,1807.49,0,0.17%
02/03/2022,1807.19,1809.22,1788.39,1804.40,1804.40,0,-0.12%
02/02/2022,1800.94,1811.53,1794.11,1806.50,1806.50,0,0.32%
02/01/2022,1796.72,1809.16,1795.13,1800.65,1800.65,0,0.23%
01/31/2022,1791.19,1800.23,1785.03,1796.47,1796.47,0,0.30%
01/28/2022,1796.94,1799.82,1779.88,1791.03,1791.03,0,-0.30%
01/27/2022,1818.44,1822.51,1790.98,1796.51,1796.51,0,-1.19%
01/26/2022,1847.99,1850.44,1814.90,1818.12,1818.12,0,-1.59%
01/25/2022,1843.34,1853.98,1834.64,1847.56,1847.56,0,0.24%
01/24/2022,1834.49,1844.53,1829.09,1843.06,1843.06,0,0.54%
01/21/2022,1838.65,1843.53,1828.04,1833.24,1833.24,0,-0.28%
01/20/2022,1840.30,1848.36,1835.67,1838.36,1838.36,0,-0.09%
01/19/2022,1813.69,1843.72,1809.97,1839.96,1839.96,0,1.46%
01/18/2022,1819.77,1823.01,1805.53,1813.54,1813.54,0,-0.30%
01/17/2022,1817.90,1823.72,1812.67,1818.99,1818.99,0,0.10%
01/14/2022,1822.55,1829.66,1814.13,1817.22,1817.22,0,-0.27%
01/13/2022,1825.94,1828.38,1811.83,1822.09,1822.09,0,-0.18%
01/12/2022,1822.49,1828.33,1814.20,1825.32,1825.32,0,0.18%
01/11/2022,1801.69,1823.35,1800.09,1822.01,1822.01,0,1.14%
01/10/2022,1795.41,1802.57,1790.43,1801.41,1801.41,0,0.32%
01/07/2022,1789.55,1799.20,1782.63,1795.63,1795.63,0,0.39%
01/06/2022,1809.94,1811.89,1786.03,1788.68,1788.68,0,-1.15%
01/05/2022,1814.90,1829.82,1807.97,1809.53,1809.53,0,-0.28%
01/04/2022,1801.34,1816.83,1798.44,1814.56,1814.56,0,0.76%
01/03/2022,1830.14,1832.06,1797.93,1800.85,1800.85,0,-1.51%
12/31/2021,1815.44,1830.58,1814.15,1828.39,1828.39,0,0.74%
12/30/2021,1803.99,1817.44,1795.78,1815.01,1815.01,0,0.63%
12/29/2021,1805.59,1808.16,1788.94,1803.66,1803.66,0,-0.09%
12/28/2021,1811.84,1820.70,1804.38,1805.37,1805.37,0,-0.31%
12/27/2021,1808.19,1813.74,1802.89,1810.90,1810.90,0,0.15%
12/24/2021,1808.19,1812.70,1801.61,1808.11,1808.11,0,0.01%
12/23/2021,1803.69,1811.02,1798.88,1807.91,1807.91,0,0.25%
12/22/2021,1788.94,1805.13,1785.41,1803.40,1803.40,0,0.84%
